Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_MW_kDa,Solvent_system,Solvent_ratio,Fiber_diameter_nm_std,Solvent_density_gmL,c_star_wt_pct,Polymer_conc_wt,intrinsic_viscosity_dLg,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,log_diameter
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,183.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,2.0,4.8,12.0,5.209486152841421
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,125.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,2.0,7.2,12.0,4.8283137373023015
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,145.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,3.0,1.2,12.0,4.976733742420574
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,180.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,3.0,4.8,12.0,5.19295685089021
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,306.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,3.0,7.2,12.0,5.723585101952381
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,332.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,4.0,1.2,12.0,5.805134968916488
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,274.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,4.0,4.8,12.0,5.613128106388071
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,164.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,4.0,7.2,12.0,5.099866427824199
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,354.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,2.0,1.2,12.0,5.869296913133774
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,388.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,2.0,4.8,12.0,5.961005339623274
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,426.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,2.0,7.2,12.0,6.054439346269371
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,325.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,3.0,1.2,12.0,5.783825182329737
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,172.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,3.0,7.2,12.0,5.147494476813453
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,167.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,4.0,1.2,12.0,5.117993812416755
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,228.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,4.0,4.8,12.0,5.429345628954441
Oliveira2013,10.1002/app.39061,J_Appl_Polym_Sci,2013,PLA,75,chloroform,NR,300.0,1.489,0.3403408488428953,6.0,1.9732914063844191,17.629385424638402,27.14,61.2,4.0,7.2,12.0,5.703782474656201
Oliveira2013,10.1002/app.39061,J_Appl_Polym_Sci,2013,PEO,100,chloroform,NR,250.0,1.489,0.6763870580492501,6.0,0.9929102934053522,8.870660561283417,27.14,61.2,4.0,7.2,12.0,5.521460917862246
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,329.0,1.069,0.23167218552041917,12.0,4.03783342804286,51.79732721493381,28.5,90.0,2.7579,2.1,10.0,5.796057750765372
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,110.0,1.069,0.23167218552041917,8.0,4.03783342804286,34.531551476622537,28.5,90.0,2.7579,2.1,10.0,4.700480365792417
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,139.0,1.069,0.23167218552041917,8.0,4.03783342804286,34.531551476622537,28.5,90.0,5.5158,2.1,10.0,4.934473933130692
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,214.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,4.1369,2.1,10.0,5.365976015021851
